partner_id,journal_id,move_name,product_id,quantity,analytic_distribution,price_unit,move_id
1180,2,AkHp3LaQNZS74NWHYDxM,24558,400,{'218': 5108.4},5108.4,24598
1180,2,rZHc94GLOZfC7JYvqkUx,24558,400,{'218': 14.54},14.54,24598
1180,2,njwzfTbdEBa6gMKylC8G,24558,2,{'218': 7889.2},7889.2,24598
1180,2,F6ZnFBMZLhn3HjyjY6vW,24558,1,{'218': 9102.5},9102.5,24598
1180,2,6YI20aZ02t7PYdmvtx7J,24558,1,{'218': 8549.38},8549.38,24598
949,2,,24552,1,{'235': 100},17499.99,24599
717,2,,24599,1,{'239': 100},63290.0,24600
919,2,,24598,1,{'280': 100},5050.0,24601
1062,2,,24552,1,{'235': 100},38400.0,24602
943,2,,24597,1,{'238': 100},9999.97,24587
648,2,jKI4Zad3XPeR6YzW7ceM,24558,5.070,{'235': 8959.0},8959.0,24603
648,2,JNd1gE76lY1ZrdhYMO3G,24558,3,{'235': 2801.0},2801.0,24603
648,2,hbZtu0ibFw56nZbyAco4,24558,5.015,{'235': 8959.0},8959.0,24603
648,2,4Ni0qsygtjtOCLOybTFj,24558,0.345,{'235': 4537.0},4537.0,24603
648,2,XqqpcQjEGxg1Y0vQV398,24558,4,{'235': 2958.0},2958.0,24603
648,2,DpQ1g3omgYVGF5TDl0Si,24558,2,{'235': 661.0},661.0,24603
664,2,6poSZk4H7IqWE6ltqLoW,24558,2,{'222': 84458.0},84458.0,24604
664,2,dtploYtt2lHeTRYK4iVv,24558,2,{'222': 5550.0},5550.0,24604
664,2,WZeH0nUtForp5ZACXTSG,24558,2 ,{'222': 26862.0},26862.0,24604
664,2,XiP5gEjawCh49mzi6nbu,24558,1,{'222': 11979.0},11979.0,24604
664,2,ExMJ5rDSE9IDoIO0Fuqw,24558,1,{'222': 10769.0},10769.0,24604
768,2,,24600,1,{'235': 100},205000.62,24588
657,2,,24557,1,{'235': 100},20700.0,24589
717,2,,24601,1,{'223': 100},7400.4,24605
691,2,,24552,1,{'235': 100},137505.99,24606
648,2,,24602,1,{'235': 100},40089.9,24590
656,2,,24603,1,{'280': 100},321.99,24607
708,2,,24604,1,{'235': 100},11800.0,24591
1148,2,MaQ33lF5a7r0PZxkpF1p,24565,1,{'235': 24793.38},24793.38,24592
1148,2,yBhdZd8Ml08g5awsZD8l,24565,1,{'235': 6863.63},6863.63,24592
1148,2,JIY0fh9inJfkHARnQwE3,24565,1,{'235': 6528.92},6528.92,24592
648,2,,24605,1,{'235': 100},2091.6,24608
1019,2,,24552,1,{'235': 100},8800.0,24609
1159,2,nLdSAKnBhwgeDPMYG4Qf,24558,10,{'218': 417.53},417.53,24610
1159,2,zle1pul6nmW0ZmQFskQM,24558,1,{'218': 5736.96},5736.96,24610
1159,2,HMNqeLhKJNAUEspL5NNG,24558,1,{'218': 5308.0},5308.0,24610
1159,2,rUsPxE1K2CP3dgkPVMyn,24558,4,{'218': 3199.72},3199.72,24610
1159,2,Xmziv4ErvGK9SG4OI63o,24558,8,{'218': 393.44},393.44,24610
861,2,,24606,1,{'258': 100},8454.6,24593
1079,2,uriWC9KEQi9191nUt46r,24565,1,{'238': 29431.72},29431.72,24594
1079,2,HEwreFD9p8ptGlQo5Soh,24565,6.7,{'238': 4224.32},4224.32,24594
1079,2,owYzOY0Ewdvxus7UmR8o,24565,1,{'238': 6569.63},6569.63,24594
1079,2,06lbOr4KdWyRA3yYuCb4,24565,1,{'238': 6723.82},6723.82,24594
1079,2,KF4azDyxb88eZaIvMEF9,24565,1,{'238': 2067.11},2067.11,24594
1079,2,E2XHi27hkSd0iT62LOCA,24565,1,{'238': 3640.32},3640.32,24594
936,2,,24607,1,{'235': 100},6641.25,24611
657,2,,24608,1,{'280': 100},40100.0,24595
648,2,,24609,1,{'235': 100},2673.25,24612
712,2,g65OpxlgPFK5cKVFJSAW,24565,2,{'218': 8999.998},8999.998,24596
712,2,pw0Ve17Gyckv2nY9K1Ud,24565,1,{'218': 21090.914},21090.914,24596
712,2,BaV1hisR1E8sDKzT9cll,24565,2,{'218': 12454.544},12454.544,24596
712,2,H9NxGwy7MlLTtMZbyHak,24565,1,{'218': 14272.727},14272.727,24596
712,2,qNGzm4BgIK6LylW4ceFW,24565,1,{'218': 28727.272},28727.272,24596
712,2,VMcQhhLovHgSYPMqG0B7,24565,1,{'218': 22545.458},22545.458,24596
712,2,XGNWKEdShypwt0qraHxJ,24565,1,{'218': 11818.182},11818.182,24596
712,2,F3g3Oz499fuQmacmsyuz,24565,1,{'218': 41545.455},41545.455,24596
712,2,WpHqzwGfVAFASCW9En7l,24565,1,{'218': 34727.266},34727.266,24596
657,2,,24557,1,{'280': 100},11000.0,24597
1180,2,AkHp3LaQNZS74NWHYDxM,24565,400,{'218': 5108.4},5108.4,24598
1180,2,rZHc94GLOZfC7JYvqkUx,24565,400,{'218': 14.54},14.54,24598
1180,2,njwzfTbdEBa6gMKylC8G,24565,2,{'218': 7889.2},7889.2,24598
1180,2,F6ZnFBMZLhn3HjyjY6vW,24565,1,{'218': 9102.5},9102.5,24598
1180,2,6YI20aZ02t7PYdmvtx7J,24565,1,{'218': 8549.38},8549.38,24598
949,2,,24554,1,{'235': 100},17499.99,24599
649,2,,24610,1,{'286': 100},10485.15,24613
717,2,,24611,1,{'239': 100},63290.0,24600
919,2,,24608,1,{'280': 100},5050.0,24601
1062,2,,24554,1,{'235': 100},38400.0,24602
648,2,jKI4Zad3XPeR6YzW7ceM,24565,5.070,{'235': 8959.0},8959.0,24603
648,2,JNd1gE76lY1ZrdhYMO3G,24565,3,{'235': 2801.0},2801.0,24603
648,2,hbZtu0ibFw56nZbyAco4,24565,5.015,{'235': 8959.0},8959.0,24603
648,2,4Ni0qsygtjtOCLOybTFj,24565,0.345,{'235': 4537.0},4537.0,24603
648,2,XqqpcQjEGxg1Y0vQV398,24565,4,{'235': 2958.0},2958.0,24603
648,2,DpQ1g3omgYVGF5TDl0Si,24565,2,{'235': 661.0},661.0,24603
1069,2,,24612,1,{'218': 100},1180960.0,24614
664,2,6poSZk4H7IqWE6ltqLoW,24565,2,{'222': 84458.0},84458.0,24604
664,2,dtploYtt2lHeTRYK4iVv,24565,2,{'222': 5550.0},5550.0,24604
664,2,WZeH0nUtForp5ZACXTSG,24565,2 ,{'222': 26862.0},26862.0,24604
664,2,XiP5gEjawCh49mzi6nbu,24565,1,{'222': 11979.0},11979.0,24604
664,2,ExMJ5rDSE9IDoIO0Fuqw,24565,1,{'222': 10769.0},10769.0,24604
967,2,,24613,1,{'218': 100},36300.0,24615
717,2,,24614,1,{'223': 100},7400.4,24605
691,2,,24554,1,{'235': 100},137505.99,24606
861,2,,24615,1,{'258': 100},301151.17,24616
861,2,,24615,1,{'258': 100},226730.56,24617
656,2,,24616,1,{'280': 100},321.99,24607
